LOTE,PALLET,CAJA,SSCC,PESO,CALIBRE,PRODUCTOR,FUNDO,COSECHA,TURNO,LMR,CATEGORIA,CODIGO
L-DEMO-001,P-1001,CJ-001,077512345678901234,4.85,16,Agrícola Costa S.A.,Fundo Sol,2026-08-05,Mañana,CONFORME,CAT1,CJ-001
L-DEMO-001,P-1001,CJ-002,077512345678901235,4.72,16,Agrícola Costa S.A.,Fundo Sol,2026-08-05,Mañana,CONFORME,CAT1,CJ-002
L-DEMO-001,P-1001,CJ-003,077512345678901236,4.10,14,Agrícola Costa S.A.,Fundo Sol,2026-08-05,Mañana,CONFORME,CAT1,CJ-003
L-DEMO-001,P-1002,CJ-004,077512345678901237,4.90,18,Agrícola Costa S.A.,Fundo Norte,2026-08-05,Tarde,CONFORME,CAT1,CJ-004
L-DEMO-001,P-1002,CJ-005,077512345678901238,3.95,18,Agrícola Costa S.A.,Fundo Norte,2026-08-05,Tarde,ALERTA,CAT1,CJ-005
L-DEMO-002,P-2001,CJ-006,077512345678901239,5.05,20,Export Fruta SAC,Parcela 12,2026-08-06,Mañana,CONFORME,CAT1,CJ-006
L-DEMO-002,P-2001,CJ-007,077512345678901240,4.60,20,Export Fruta SAC,Parcela 12,2026-08-06,Mañana,CONFORME,CAT1,CJ-007
L-DEMO-002,P-2001,CJ-008,077512345678901241,,22,Export Fruta SAC,Parcela 12,2026-08-06,Mañana,RECHAZADO,DESCARTE,CJ-008
L-DEMO-002,P-2002,CJ-009,077512345678901242,4.75,16,Export Fruta SAC,Parcela 8,2026-08-06,Noche,CONFORME,CAT1,CJ-009
L-DEMO-002,P-2002,CJ-010,077512345678901243,4.55,16,Export Fruta SAC,Parcela 8,2026-08-06,Noche,CONFORME,MERMA,CJ-010
